ORG_COPPER_NAME,ORG_COPPER_ID,ORG_WEBSITE,STAGE,COPPER_LINK,STATUS
BOAL Systems B.V.,34108216,boalgroup.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/34108216,Lost
Casa International NV,57023439, www.casashops.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/57023439,Open
Smartbags,13110551,martbags.com,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13110551,Lost
Vivaldi XL B.V.,52382508,vivaldixl.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52382508,Open
SAWARI FRESH International bv,56834031,sawarifresh.com,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/56834031,Open
Boska,30354244,boska.com,5 - On-boarding (S+CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/30354244,Won
Prokonpack verpakkingen,16433118,prokonpack-webshop.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/16433118,Lost
Imperial Crown Group B.V.,34840646,NULL,6 - Experience (CS+S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/34840646,Lost
JTI the WOW Company,56004544,jtithewowcompany.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56004544,Abandoned
Carnimex,28675414,carnimex.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/28675414,Lost
Nicomet tinplate/steel B.V.,53218419,nicomet-tinplate.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/53218419,Abandoned
W Fashion,31343688,fashion.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/31343688,Abandoned
Emrol,37411092,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/37411092,Lost
Stigter Tuin & Serremeubelen B.V.,49666848,stigter-tuinmeubelen.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/49666848,Abandoned
Hitec Power Protection B.V.,50834992,hitec-ups.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50834992,Lost
SNR Drive Express,57366273,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/57366273,Open
Sunraytrading,13231928,sunraytrading.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13231928,Lost
Rovawee B.V.,55076728,inkoop@rovawee.nl,5 - On-boarding (S+CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55076728,Won
IGM Trading,27900127,grandcanyonbike.eu,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/27900127,Abandoned
Van Den Ban B.V.,23541308,vandenban.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/23541308,Lost
Textaafoam B.V.,20577686,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/20577686,Abandoned
AKS-BENELUX,39226052,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/39226052,Lost
Special Fruit NV,56062070,pecialfruit.be,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56062070,Open
VDL Containersystemen BV,46114065,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/46114065,Open
Dutch Thruster Group BV,13701177,dutchthrustergroup.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/13701177,Open
Budget Molding B.V.,53300445,NULL,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/53300445,Won
Profidrum,13233211,profidrum.com,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13233211,Lost
Overstock Garden,52643260,overstockgarden.be/fr,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52643260,Open
Plasticmachinery,13232823,plasticmachinery.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13232823,Lost
Creventic,32786419,creventic.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/32786419,Abandoned
jasno shutters,13670527,jasno.com,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13670527,Abandoned
"Granfer.com, LDA",56629999,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56629999,Abandoned
yazakieuropeltd.belgiumoffice,53075229,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/53075229,Open
Bamboo Import Europe B.V.,30378497,bambooimport.com,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/30378497,Open
Het Kabinet B.V.,13234053,hetkabinet.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/13234053,Open
Pack-It B.V.,18876112,packit.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/18876112,Lost
HAZA Groep B.V.,50106816,haza.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50106816,Open
PION Kunststoffen B.V.,27965896,NULL,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/27965896,Lost
Global-C Nederland b.v.,37531401,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/37531401,Open
Glencore International AG,50982402,glencore.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/50982402,Open
Q1 Installatie B.V.,56054949,q1sanitair.nl,7 - Growth (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56054949,Won
Alsico Hightech,52553327,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52553327,Open
Vloerenwinkel.nl,40028350,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/40028350,Abandoned
4 Seizoenen Tuinmeubelen,32298525,4seizoenentuinmeubelen.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/32298525,Abandoned
Holland Industries B.V.,40601351,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/40601351,Open
ASP Aftersales,23273509,aftersalesplatform.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/23273509,Lost
Magnus Business Gifts,53387204,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/53387204,Open
Rituals,32141221,rituals.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/32141221,Abandoned
Kvadrat B.V.,51995362,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/51995362,Abandoned
Haagsche kunsthandel,13110881,haagsche-kunsthandel.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13110881,Lost
Drabbe bv,14996761,NULL,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/14996761,Abandoned
Raber Distribution,13218444,raberdistribution.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13218444,Lost
Angro B.V.,13243205,angro.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/13243205,Open
Konijnenburg,55559184,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/55559184,Open
CC Nederland,13206617,ccned.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13206617,Lost
Ellipz Lighting BV,51557578,NULL,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/51557578,Won
Hino Motors Europe,52698869,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52698869,Abandoned
Total Solution Provider BV,56805831,tsp-bombeeck.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/56805831,Open
Plantera,56330793,plantera.nl/nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56330793,Open
ELEC-LIGHTIN'ART,39647401,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/39647401,Lost
Intratuin Netherlands B.V.,48426044,intratuin.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/48426044,Open
Victaulic Europe,44769514,bit.ly/victaulic,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/44769514,Abandoned
Asha Ram & Sons Pvt Ltd,57664645,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/57664645,Open
Pure Water Group,17003991,purewatergroup.com,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/17003991,Lost
ODS B.V.,32822447,kloeckner.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/32822447,Lost
Danone,50062762,danone.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50062762,Lost
MATSURU b.v,32392151,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/32392151,Abandoned
MSV GROUPE & MSV-SPIRELLA,36667569,msv-france.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/36667569,Open
VIVA Scandinavia,46243536,ca.shopviva.com,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/46243536,Won
Unilac Holland B.V.,54514703,unilac-holland.com,6 - Experience (CS+S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54514703,Won
Solupar,13592905,olupar.com,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13592905,Abandoned
EURL Here et There,56004669,hereandthere.fr,6 - Experience (CS+S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56004669,Open
Tomandco,52642416,tomandco.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/52642416,Open
Gimeg Nederland B.V.,28694243,gimeg.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/28694243,Open
Translas B.V.,49462326,translas.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49462326,Lost
Besgrow Europe B.V.,56901056,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56901056,Abandoned
Cosentino the netherlands b.v.,18032555,cosentino.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/18032555,Abandoned
Tel International B.V.,46541178,telint.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/46541178,Abandoned
ICA Group B.V.,38154658,ica-group.nl,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/38154658,Won
Bunnik Creations B.V.,55076560,bunnikcreations.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55076560,Lost
Feezz,11574797,feezz.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/11574797,Lost
Freya Farming,13110849,freyafarming.com,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13110849,Lost
Henkel Nederland Operations B.V.,46387277,henkel.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/46387277,Open
Eshanima fabrics,22246132,eshanimafabrics.co.za,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/22246132,Abandoned
Boston Scientific Nederland B.V.,39785339,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/39785339,Open
R3B Trading,11288212,r3b.eu,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/11288212,Abandoned
S.K.S. B.V.,25286589,ks-online.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/25286589,Abandoned
ELI Play,14890629,eliplay.eu,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/14890629,Won
Al-Sarj Al Dhahabi Commercial company,51564782,rexmiddleeast.com,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/51564782,Won
PEC NV,54267424,peccorp.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54267424,Open
Agfa-Gevaert B.V,32787348,agfa.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/32787348,Lost
Sacobel world leather confections b.v.,36261244,sacobel.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/36261244,Open
Global systems & software b.v.,28111151,gsens.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/28111151,Abandoned
Brosi B.V.,45687516,brosi-interiors.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/45687516,Lost
Moonlight Products,34936011,NULL,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/34936011,Abandoned
Unisel Co. / Mersel Foods,55701376,unisel.lv,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/55701376,Abandoned
Beelenpackaging,34715524,NULL,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/34715524,Open
Louwman Logistics,57371289,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/57371289,Open
AV Flexologic B.V.,26862111,flexologic.nl,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/26862111,Lost
Brands of Q B.V.,22113566,qhp.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/22113566,Open
Bal Seal Engineering Europe B.V.,27912564,balseal.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/27912564,Lost
Arkas Holding S.A.,57775060,arkas.com.tr,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/57775060,Open
Megaprojects,56330402,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/56330402,Open
Snick EuroIngredients NV,58485783,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/58485783,Open
IBS Bouw,52901226,proximus.be,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52901226,Open
Vimpex International B.V.,37335094,vimpex.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/37335094,Open
VDL Parree B.V.,48821023,vdlparree.com/nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/48821023,Lost
Verstegen-Grijpers B.V.,32591778,verstegen.ne,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/32591778,Lost
Metafox,45072614,metafox.be,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/45072614,Abandoned
Nautikaris,14125455,nautikaris.com,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/14125455,Abandoned
Heliox,13592728,heliox.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13592728,Open
Century products,57664550,centruyproducts.nl ,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/57664550,Open
F Talen indomarmer,13692724,indomarmer.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13692724,Abandoned
Van winkel fashion / Ledub,14063929,vanwinkel.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/14063929,Lost
Carolus bvba,57623976,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/57623976,Open
Enot B.V.,50778462,enot.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50778462,Open
Konutherm b.v.,19137661,konutherm.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/19137661,Abandoned
Vingino Love for Denim B.V,49362730,vingino.com/nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49362730,Open
Sankyo Tateyama Europe BVBA,53033347,step-g.com,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/53033347,Won
Dopper B.V.,33415298,dopper.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/33415298,Abandoned
Hemi B.V.,36390229,hemi.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/36390229,Abandoned
AtéCé Graphic Products B.V.,50283252,atece.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50283252,Open
Livingfurn B.V.,50967427,brix-collection.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50967427,Open
Bamboo Import Europe B.V.,30378497,bambooimport.com,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/30378497,Won
Fizzy Looplabb B.V.,40344337,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/40344337,Abandoned
Westland Kaas,52169394,estlandkaas.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52169394,Open
Freeland BV,55407586,freeland.nl,6 - Experience (CS+S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55407586,Won
Q1 Installatie B.V.,56054949,q1sanitair.nl,7 - Growth (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56054949,Won
Invotis b.v.,33725524,invotis.com,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/33725524,Abandoned
VEGA-systems B.V.,23765715,vegasystems.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/23765715,Abandoned
Macari Fruit,13097888,macarifruitservices.com,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13097888,Abandoned
Tate & Lyle Netherlands B.V.,52497471,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52497471,Open
ROYAL BOTANIA,42148610,royalbotania.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/42148610,Abandoned
Elburg Global,26384534,elburgglobal.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/26384534,Open
Hesdo B.V.,11055385,hesdo.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/11055385,Abandoned
Bio Freshi Produce B.V.,12156879,biofreshi.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/12156879,Open
Luxor B.V.,24685101,hiwi.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/24685101,Abandoned
Heusdens Schäffer,37210621,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/37210621,Lost
Van Gent Forkliftparts B.V.,29960925,vangentbv.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/29960925,Open
Rituals,32141221,rituals.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/32141221,Open
MORE Transport bv,56004628,more-transport.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56004628,Abandoned
Mebu b.v.,49417763,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/49417763,Abandoned
One fine place,36011984,onefineplace.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/36011984,Lost
HTL-DHT B.V.,37323842,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/37323842,Abandoned
Active Food,52493847,active-food.be/be,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/52493847,Lost
ECW Logistics B.V.,57607131,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/57607131,Open
Velda B.V.,44410277,velda.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/44410277,Abandoned
Van de Heg B.V.,26950324,vandeheg.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/26950324,Abandoned
AEROTRIM,39220063,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/39220063,Abandoned
Ynvolve B.V.,50284308,qsens.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50284308,Open
Profolux B.V.,35132772,profolux.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/35132772,Abandoned
Kreisy a division of Y&S,57788701,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/57788701,Open
DMN Machinefabriek Noordwykerhout B.V.,40999326,dmnwestinghouse.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/40999326,Abandoned
BergHOFF Worldwide NV,53346456,berghoffworldwide.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/53346456,Open
MPC Industries B.V.,49586259,mpcindustries.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49586259,Abandoned
Lankhorst touwfabrieken b.v.,19717526,lankhorstropes.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/19717526,Lost
Trophy Bottles B.V,30578117,b-strollers.com,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/30578117,Won
Lino droogbloemen,13594306,linodroogbloemen.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13594306,Lost
Raepers,37079933,raepers.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/37079933,Lost
Bamboo Import Europe B.V.,30378497,bambooimport.com,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/30378497,Won
Spack BV,32487850,pack.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/32487850,Abandoned
Gistron b.v.,23109052,gistron.com,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/23109052,Lost
The New Originals,52575228,theneworiginals.eu,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/52575228,Open
LOEWE OPTA BENELUX,40103914,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/40103914,Lost
AfriTrade,56667376,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/56667376,Open
Q1 Installatie B.V.,56054949,q1sanitair.nl,7 - Growth (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56054949,Open
"Boston Retail Products B.V,",51476059,bostonretail.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/51476059,Abandoned
Micromedia BV,37395943,micromedia.eu,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/37395943,Lost
Euro Shoe Group NV,48555673,euroshoe.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/48555673,Open
Imres b.v.,47142073,imres.nl,7 - Growth (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/47142073,Won
Toko Lien,31059258,tokolien.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/31059258,Lost
All-time Favourites,42487375,alltimefavourites.nl,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/42487375,Abandoned
RAF Import,22246149,rafimport.com,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/22246149,Abandoned
Colubris Tech b.v.,45375595,NULL,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/45375595,Won
Bess trade b.v.,39229314,besstrade.eu,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/39229314,Lost
Elpro B.V.,27965468,NULL,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/27965468,Lost
Vobra Special Petfoods B.V.,51901977,vobra.com/nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/51901977,Abandoned
Caldic Ingredients Benelux BV,58140657,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/58140657,Open
PROM'ES Event Supplies,47010835,eventsupplies.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/47010835,Abandoned
Profextru Productie B.V.,49414363,profextru.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49414363,Abandoned
Sunware B.V.,13419549,unware.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/13419549,Open
Contraload,52642440,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52642440,Open
